,Date,Nitrogen Dioxide 2020,Nitrogen Dioxide 2019,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
0,Jan 1,44.989583333333300,27.8468085106383,United Kingdom,0.0,0.0,0.0,0.0
1,Jan 2,20.11702127659570,41.2872340425532,United Kingdom,0.0,0.0,0.0,0.0
2,Jan 3,17.861224489795900,50.6875,United Kingdom,0.0,0.0,0.0,0.0
3,Jan 4,34.40416666666670,42.1106382978724,United Kingdom,0.0,0.0,0.0,0.0
4,Jan 5,16.93061224489800,49.8369565217391,United Kingdom,0.0,0.0,0.0,0.0
5,Jan 6,21.356250000000000,31.775,United Kingdom,0.0,0.0,0.0,0.0
6,Jan 7,15.050000000000000,22.57,United Kingdom,0.0,0.0,0.0,0.0
7,Jan 8,13.657142857142900,33.3021276595745,United Kingdom,0.0,0.0,0.0,0.0
8,Jan 13,25.142857142857100,24.748,United Kingdom,0.0,0.0,0.0,0.0
9,Jan 14,22.297959183673500,30.569387755102,United Kingdom,0.0,0.0,0.0,0.0
10,Jan 15,35.876,39.6530612244898,United Kingdom,0.0,0.0,0.0,0.0
11,Jan 16,29.652000000000000,33.794,United Kingdom,0.0,0.0,0.0,0.0
12,Jan 17,34.902000000000000,21.7574468085106,United Kingdom,0.0,0.0,0.0,0.0
13,Jan 18,50.720000000000000,45.4170212765957,United Kingdom,0.0,0.0,0.0,0.0
14,Jan 19,54.646000000000000,46.4872340425532,United Kingdom,0.0,0.0,0.0,0.0
15,Jan 20,75.10000000000000,39.3893617021277,United Kingdom,0.0,0.0,5.56,5.56
16,Jan 21,75.21400000000000,51.9170212765958,United Kingdom,0.0,0.0,5.56,5.56
17,Jan 22,56.61914893617020,61.5829787234043,United Kingdom,0.0,0.0,5.56,5.56
18,Jan 23,50.96170212765960,41.8229166666667,United Kingdom,0.0,0.0,5.56,5.56
19,Jan 24,51.20212765957450,56.4333333333333,United Kingdom,0.0,0.0,5.56,5.56
20,Jan 25,36.28936170212770,63.83125,United Kingdom,0.0,0.0,5.56,5.56
21,Jan 26,25.58085106382980,57.4791666666667,United Kingdom,0.0,0.0,5.56,5.56
22,Jan 27,40.5063829787234,57.5166666666667,United Kingdom,0.0,0.0,5.56,5.56
23,Jan 28,32.5127659574468,78.1104166666666,United Kingdom,0.0,0.0,5.56,5.56
24,Jan 29,35.43191489361700,57.1148936170213,United Kingdom,0.0,0.0,5.56,5.56
25,Jan 30,32.6936170212766,28.7583333333333,United Kingdom,0.0,0.0,5.56,5.56
26,Jan 31,24.09347826086960,19.5291666666667,United Kingdom,0.0,0.0,8.33,8.33
27,Feb 1,27.629166666666700,52.0723404255319,United Kingdom,2.0,0.0,8.33,8.33
28,Feb 2,21.427659574468100,63.2829787234043,United Kingdom,2.0,0.0,11.11,11.11
29,Feb 3,36.195833333333300,65.7063829787234,United Kingdom,2.0,0.0,11.11,11.11
30,Feb 4,23.151063829787200,66.9413043478261,United Kingdom,2.0,0.0,11.11,11.11
31,Feb 5,17.762000000000000,43.1739130434783,United Kingdom,3.0,0.0,11.11,11.11
32,Feb 6,27.225000000000000,33.4021276595745,United Kingdom,3.0,0.0,11.11,11.11
33,Feb 7,20.816666666666700,28.9469387755102,United Kingdom,4.0,0.0,11.11,11.11
34,Feb 8,12.81224489795920,53.8127659574468,United Kingdom,4.0,0.0,11.11,11.11
35,Feb 13,34.384000000000000,39.4304347826087,United Kingdom,10.0,0.0,11.11,11.11
36,Feb 14,39.01600000000000,22.3545454545455,United Kingdom,10.0,0.0,11.11,11.11
37,Feb 15,13.502,28.32,United Kingdom,10.0,0.0,11.11,11.11
38,Feb 16,14.308,31.2541666666667,United Kingdom,10.0,0.0,11.11,11.11
39,Feb 17,21.783673469387800,32.466,United Kingdom,10.0,0.0,11.11,11.11
