,Date,Nitrogen Dioxide_ugm-3_LDN,CountryName,ConfirmedCases,ConfirmedDeaths,StringencyIndex
0,2020-01-01,44.989583333333336,United Kingdom,0.0,0.0,0.0
1,2020-01-02,20.11702127659574,United Kingdom,0.0,0.0,0.0
2,2020-01-03,17.861224489795923,United Kingdom,0.0,0.0,0.0
3,2020-01-04,34.40416666666667,United Kingdom,0.0,0.0,0.0
4,2020-01-05,16.93061224489796,United Kingdom,0.0,0.0,0.0
5,2020-01-06,21.356250000000006,United Kingdom,0.0,0.0,0.0
6,2020-01-07,15.049999999999995,United Kingdom,0.0,0.0,0.0
7,2020-01-08,13.657142857142858,United Kingdom,0.0,0.0,0.0
8,2020-01-13,25.142857142857142,United Kingdom,0.0,0.0,0.0
9,2020-01-14,22.297959183673466,United Kingdom,0.0,0.0,0.0
10,2020-01-15,35.876,United Kingdom,0.0,0.0,0.0
11,2020-01-16,29.651999999999994,United Kingdom,0.0,0.0,0.0
12,2020-01-17,34.902000000000015,United Kingdom,0.0,0.0,0.0
13,2020-01-18,50.719999999999985,United Kingdom,0.0,0.0,0.0
14,2020-01-19,54.645999999999994,United Kingdom,0.0,0.0,0.0
15,2020-01-20,75.10000000000001,United Kingdom,0.0,0.0,5.56
16,2020-01-21,75.21400000000003,United Kingdom,0.0,0.0,5.56
17,2020-01-22,56.61914893617021,United Kingdom,0.0,0.0,5.56
18,2020-01-23,50.96170212765959,United Kingdom,0.0,0.0,5.56
19,2020-01-24,51.20212765957448,United Kingdom,0.0,0.0,5.56
20,2020-01-25,36.28936170212765,United Kingdom,0.0,0.0,5.56
21,2020-01-26,25.58085106382979,United Kingdom,0.0,0.0,5.56
22,2020-01-27,40.5063829787234,United Kingdom,0.0,0.0,5.56
23,2020-01-28,32.5127659574468,United Kingdom,0.0,0.0,5.56
24,2020-01-29,35.43191489361703,United Kingdom,0.0,0.0,5.56
25,2020-01-30,32.6936170212766,United Kingdom,0.0,0.0,5.56
26,2020-01-31,24.09347826086957,United Kingdom,0.0,0.0,8.33
27,2020-02-01,27.629166666666666,United Kingdom,2.0,0.0,8.33
28,2020-02-02,21.427659574468084,United Kingdom,2.0,0.0,11.11
29,2020-02-03,36.195833333333326,United Kingdom,2.0,0.0,11.11
30,2020-02-04,23.151063829787233,United Kingdom,2.0,0.0,11.11
31,2020-02-05,17.762000000000004,United Kingdom,3.0,0.0,11.11
32,2020-02-06,27.224999999999998,United Kingdom,3.0,0.0,11.11
