CountryName,Year,Month,Quarter,max_StIn,min_StIn,max_StInDis,min_StInDis,ConfirmedCases,ConfirmedDeaths,avg_residential_mobility_from_baseline,avg_workplace_mobility_from_baseline,TWh,Date,fake day,Date_Est
Austria,2020,April,1,85.19,85.19,85.19,85.19,12640.0,243.0,21.25,-55.625,4.556,2020 April 4,4,2020-04-04
Austria,2020,April,2,85.19,81.48,85.19,81.48,14370.0,393.0,20.5,-57.125,4.556,2020 April 11,11,2020-04-11
Austria,2020,April,3,81.48,78.7,81.48,78.7,14924.0,494.0,16.714285714285715,-46.142857142857146,4.556,2020 April 18,18,2020-04-18
Austria,2020,April,4,78.7,78.7,78.7,78.7,15364.0,580.0,14.571428571428571,-42.42857142857143,4.556,2020 April 25,25,2020-04-25
Austria,2020,August,1,31.48,31.48,31.48,31.48,21819.0,720.0,0.75,-27.5,,2020 August 4,4,2020-08-04
Austria,2020,August,2,31.48,31.48,31.48,31.48,23211.0,728.0,0.5,-28.5,,2020 August 11,11,2020-08-11
Austria,2020,August,3,31.48,31.48,31.48,31.48,23875.0,729.0,3.0,-34.666666666666664,,2020 August 18,18,2020-08-18
Austria,2020,February,1,0.0,0.0,0.0,0.0,0.0,0.0,,,5.65,2020 February 4,4,2020-02-04
Austria,2020,February,2,0.0,0.0,0.0,0.0,0.0,0.0,,,5.65,2020 February 11,11,2020-02-11
Austria,2020,February,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2857142857142857,-3.142857142857143,5.65,2020 February 18,18,2020-02-18
Austria,2020,February,4,11.11,0.0,11.11,0.0,7.0,0.0,0.0,1.125,5.65,2020 February 25,25,2020-02-25
Austria,2020,January,1,0.0,0.0,0.0,0.0,0.0,0.0,,,6.199,2020 January 4,4,2020-01-04
Austria,2020,January,2,0.0,0.0,0.0,0.0,0.0,0.0,,,6.199,2020 January 11,11,2020-01-11
Austria,2020,January,3,0.0,0.0,0.0,0.0,0.0,0.0,,,6.199,2020 January 18,18,2020-01-18
Austria,2020,January,4,0.0,0.0,0.0,0.0,0.0,0.0,,,6.199,2020 January 25,25,2020-01-25
Austria,2020,July,1,43.52,43.52,43.52,43.52,18415.0,706.0,0.5,-18.0,,2020 July 4,4,2020-07-04
Austria,2020,July,2,43.52,31.48,43.52,31.48,19115.0,710.0,1.25,-24.125,,2020 July 11,11,2020-07-11
Austria,2020,July,3,31.48,31.48,31.48,31.48,20122.0,711.0,1.875,-26.25,,2020 July 18,18,2020-07-18
Austria,2020,July,4,31.48,31.48,31.48,31.48,21009.0,718.0,0.5714285714285714,-27.142857142857142,,2020 July 25,25,2020-07-25
Austria,2020,June,1,50.0,43.52,50.0,43.52,16868.0,672.0,5.5,-26.125,4.717,2020 June 4,4,2020-06-04
Austria,2020,June,2,43.52,43.52,43.52,43.52,17065.0,678.0,4.875,-27.25,4.717,2020 June 11,11,2020-06-11
Austria,2020,June,3,43.52,43.52,43.52,43.52,17320.0,690.0,3.0,-19.0,4.717,2020 June 18,18,2020-06-18
Austria,2020,June,4,43.52,43.52,43.52,43.52,17666.0,703.0,1.1428571428571428,-16.0,4.717,2020 June 25,25,2020-06-25
Austria,2020,March,1,11.11,11.11,11.11,11.11,99.0,0.0,-0.25,1.5,5.542,2020 March 4,4,2020-03-04
Austria,2020,March,2,85.19,19.44,85.19,19.44,860.0,1.0,5.375,-9.75,5.542,2020 March 11,11,2020-03-11
Austria,2020,March,3,85.19,85.19,85.19,85.19,4486.0,25.0,23.125,-57.625,5.542,2020 March 18,18,2020-03-18
Austria,2020,March,4,85.19,85.19,85.19,85.19,9618.0,108.0,23.142857142857142,-57.42857142857143,5.542,2020 March 25,25,2020-03-25
Austria,2020,May,1,71.3,64.81,71.3,64.81,15673.0,609.0,12.875,-41.125,4.754,2020 May 4,4,2020-05-04
Austria,2020,May,2,64.81,59.26,64.81,59.26,16068.0,628.0,9.5,-28.375,4.754,2020 May 11,11,2020-05-11
Austria,2020,May,3,59.26,55.56,59.26,55.56,16407.0,639.0,8.0,-30.875,4.754,2020 May 18,18,2020-05-18
Austria,2020,May,4,55.56,50.0,55.56,50.0,16638.0,668.0,6.714285714285714,-22.428571428571427,4.754,2020 May 25,25,2020-05-25
Belgium,2020,April,1,81.48,81.48,81.48,81.48,26674.0,3084.0,25.125,-60.875,5.717,2020 April 4,4,2020-04-04
Belgium,2020,April,2,81.48,81.48,81.48,81.48,38130.0,5450.0,25.75,-63.375,5.717,2020 April 11,11,2020-04-11
Belgium,2020,April,3,81.48,81.48,81.48,81.48,45688.0,6917.0,23.428571428571427,-55.285714285714285,5.717,2020 April 18,18,2020-04-18
Belgium,2020,April,4,81.48,81.48,81.48,81.48,49915.0,7912.0,22.142857142857142,-51.857142857142854,5.717,2020 April 25,25,2020-04-25
Belgium,2020,August,1,61.11,57.41,61.11,57.41,74570.0,9872.0,7.625,-30.375,,2020 August 4,4,2020-08-04
Belgium,2020,August,2,62.96,56.48,62.96,56.48,78566.0,9943.0,7.625,-29.75,,2020 August 11,11,2020-08-11
Belgium,2020,August,3,56.48,56.48,56.48,56.48,78804.0,9959.0,9.0,-43.666666666666664,,2020 August 18,18,2020-08-18
Belgium,2020,February,1,11.11,11.11,11.11,11.11,1.0,0.0,,,6.974,2020 February 4,4,2020-02-04
Belgium,2020,February,2,11.11,11.11,11.11,11.11,1.0,0.0,,,6.974,2020 February 11,11,2020-02-11
Belgium,2020,February,3,11.11,11.11,11.11,11.11,1.0,0.0,0.0,2.142857142857143,6.974,2020 February 18,18,2020-02-18
Belgium,2020,February,4,11.11,11.11,11.11,11.11,1.0,0.0,2.875,-15.625,6.974,2020 February 25,25,2020-02-25
Belgium,2020,January,1,0.0,0.0,0.0,0.0,0.0,0.0,,,7.497,2020 January 4,4,2020-01-04
Belgium,2020,January,2,0.0,0.0,0.0,0.0,0.0,0.0,,,7.497,2020 January 11,11,2020-01-11
Belgium,2020,January,3,0.0,0.0,0.0,0.0,0.0,0.0,,,7.497,2020 January 18,18,2020-01-18
Belgium,2020,January,4,11.11,0.0,11.11,0.0,0.0,0.0,,,7.497,2020 January 25,25,2020-01-25
Belgium,2020,July,1,48.15,48.15,48.15,48.15,62583.0,9786.0,6.375,-27.125,,2020 July 4,4,2020-07-04
Belgium,2020,July,2,48.15,48.15,48.15,48.15,63767.0,9803.0,6.125,-29.25,,2020 July 11,11,2020-07-11
Belgium,2020,July,3,48.15,48.15,48.15,48.15,66041.0,9821.0,7.25,-39.625,,2020 July 18,18,2020-07-18
Belgium,2020,July,4,61.11,48.15,61.11,48.15,69572.0,9839.0,8.714285714285714,-35.714285714285715,,2020 July 25,25,2020-07-25
Belgium,2020,June,1,75.0,51.85,75.0,51.85,59787.0,9617.0,13.5,-32.625,6.032,2020 June 4,4,2020-06-04
Belgium,2020,June,2,51.85,51.85,51.85,51.85,60606.0,9683.0,9.375,-22.5,6.032,2020 June 11,11,2020-06-11
Belgium,2020,June,3,51.85,51.85,51.85,51.85,61270.0,9730.0,7.714285714285714,-21.714285714285715,6.032,2020 June 18,18,2020-06-18
Belgium,2020,June,4,51.85,51.85,51.85,51.85,61861.0,9760.0,6.571428571428571,-20.857142857142858,6.032,2020 June 25,25,2020-06-25
Belgium,2020,March,1,13.89,11.11,13.89,11.11,344.0,0.0,0.375,1.875,6.766,2020 March 4,4,2020-03-04
Belgium,2020,March,2,50.93,13.89,50.93,13.89,1757.0,19.0,5.75,-12.0,6.766,2020 March 11,11,2020-03-11
Belgium,2020,March,3,81.48,50.93,81.48,50.93,6760.0,280.0,23.0,-56.25,6.766,2020 March 18,18,2020-03-18
Belgium,2020,March,4,81.48,81.48,81.48,81.48,15301.0,1116.0,25.714285714285715,-61.57142857142857,6.766,2020 March 25,25,2020-03-25
Belgium,2020,May,1,81.48,78.7,81.48,78.7,53374.0,8595.0,22.0,-51.625,5.97,2020 May 4,4,2020-05-04
Belgium,2020,May,2,78.7,75.0,78.7,75.0,56058.0,9054.0,16.75,-36.875,5.97,2020 May 11,11,2020-05-11
Belgium,2020,May,3,75.0,75.0,75.0,75.0,57721.0,9305.0,15.5,-38.5,5.97,2020 May 18,18,2020-05-18
Belgium,2020,May,4,75.0,75.0,75.0,75.0,58891.0,9487.0,12.571428571428571,-28.285714285714285,5.97,2020 May 25,25,2020-05-25
Bulgaria,2020,April,1,71.3,71.3,71.3,71.3,577.0,23.0,17.875,-42.875,2.349,2020 April 4,4,2020-04-04
Bulgaria,2020,April,2,73.15,71.3,73.15,71.3,747.0,36.0,13.625,-38.75,2.349,2020 April 11,11,2020-04-11
Bulgaria,2020,April,3,73.15,73.15,73.15,73.15,1024.0,49.0,17.857142857142858,-50.714285714285715,2.349,2020 April 18,18,2020-04-18
Bulgaria,2020,April,4,73.15,73.15,73.15,73.15,1447.0,64.0,12.0,-33.285714285714285,2.349,2020 April 25,25,2020-04-25
Bulgaria,2020,August,1,41.67,41.67,41.67,41.67,13014.0,435.0,-2.875,-20.75,,2020 August 4,4,2020-08-04
Bulgaria,2020,August,2,41.67,41.67,41.67,41.67,14333.0,495.0,-3.5,-20.375,,2020 August 11,11,2020-08-11
Bulgaria,2020,August,3,,,41.67,41.67,14669.0,519.0,-0.3333333333333333,-30.666666666666668,,2020 August 18,18,2020-08-18
Bulgaria,2020,February,1,2.78,0.0,2.78,0.0,,,,,2.866,2020 February 4,4,2020-02-04
