,Year,Month,Total consumption of electricity used (all providers) TWh
0,2017,January,29.860327403069096
1,2017,February,26.207023562458023
2,2017,March,26.3692917343299
3,2017,April,24.043366343432258
4,2017,May,24.15788942108566
5,2017,June,22.58915805166412
6,2017,July,23.254473081157695
7,2017,August,23.57635100475665
8,2017,September,23.68349707420642
9,2017,October,25.338121612261148
10,2017,November,27.786429700684607
11,2017,December,29.302651118502535
12,2018,January,28.58221790334557
13,2018,February,27.061781839513817
14,2018,March,29.225836537189274
15,2018,April,25.640236510323597
16,2018,May,23.69795514096461
17,2018,June,22.46914738459232
18,2018,July,23.62044684914161
19,2018,August,23.757318668593708
20,2018,September,23.269387768209494
21,2018,October,25.1338512250535
22,2018,November,27.067643068573506
23,2018,December,27.848807231437313
24,2019,January,29.3328779455583
25,2019,February,25.136379125525714
26,2019,March,26.799206673755194
27,2019,April,24.517522518893923
28,2019,May,23.79617727975071
29,2019,June,22.293721312937475
30,2019,July,23.1162228101119
31,2019,August,22.742808979769062
32,2019,September,22.87082965222527
33,2019,October,25.767437404500786
34,2019,November,27.56666877606838
35,2019,December,27.816057797405918
36,2020,January,27.6744872450955
37,2020,February,25.98652998778088
38,2020,March,25.892541849648186
39,2020,April,20.885839795822577
40,2020,May,20.53319768988975
41,2020,June,20.374377466553074
